ИНН,Организация
675900061070,"ООО ""Преображение"""
6763055245,"ООО ""УЭС"""
6758230357,"ООО ""Нордик Лайт"""
7671390159,Блиновских Маша Федоровна
675200979041,"ЖСК ""Рощинский - 9"""
6752033120,"ООО ""Учебный центр"""
7670390935,"ООО ""Компания ""Сладкий мир"""
7670146905,"ООО ""АН ""Азбука жРуслан"""
6606000870,"ЗАО ""Гагарка-AU-ПВ"""
7670389489,"ООО ""Завод ""Урал Окно"""
7670396782,"ООО ""Маук Девелопмент"""
676100106976,"ООО ""Уралжилстрой"""
768601102214,"ЖСК ""Исетский"""
767320160473,Блохин Аристофан Юрьевич
6752999153,"ООО ""СК ЭНКИ"""
660600000110,"ООО ""АрхПрофи"""
7660008060,"ЖСК ""Рощинский - 7.3"""
6758116044,"ООО ""Мегатрон"""
7672348103,Бобков Павел Степанович
5904087540,"ООО ""ХЕВИ МЕТАЛ"""
6758338015,"ООО ""АЗСК"""
7673107076,"ООО ""РТК"""
7614002138,"ООО ""РемСтройИнвест"""
7617012720,"ООО ""СМП-2000"""
2460227734,Боброва Мария Петровна
7670138904,"ООО ""УралПромОборудование"""
7670342970,"ООО ""ПакЛайнУрал"""
7670213870,Бобылев Вячеслав Анатольевич
7686022790,"ООО ""Протон"""
7671299534,"ООО ЧОП ""Талион"""
7453247520,"ГКОУ Свердловской области ""Детский дом ""Созвездие"""
660100035146,МБДОУ - ДЕТСКИЙ САД № 521
7679011700,Богатченко Митрофан Алексеевич
6759188637,"АО ""ТРАНСНЕФТЬ - СЕВЕР"""
6758259752,"ООО ""НИТА-СЕРВИС"""
6758247054,Богатырев Анатолий Валерьевич
675800584020,"ТСЖ ""Регион"""
7404061241,"ООО ""Торговый дом ""Эковер"""
7670109974,"ООО ""НОРМАНДИЯ"""
7671251356,"ООО ""Банком-Трейд"""
6758359897,"ЗАО ""Гранта Си"""
7731255977,"ЗАО ""Реконструкция"""
7203218887,"ООО ""Деонис"""
7673137994,"ООО ""Фиш-Сити"""
7671267677,"ООО ""Уралвзрывпром"""
6758344114,"ЗАО ""ПИК ""Банком-Групп"""
7673193710,"ООО ""СК ""Галактика"""
6763017176,"ООО ""НТ Баутехник"""
7673240871,"ООО ""РосНЭП"""
6606017998,"ООО ""Земляничная ПолИрина"""
7670402370,"ООО ""МЕГАПОЛИС РОСТОВ"""
7678008047,"ООО ""АВС Кристалл"""
7672254014,Богданов Алексей Леонидович
676203574408,"ООО ""САНТЕХМОНТАЖСТРОЙ"""
7672278757,"ООО""ОКО-С"""
7672278640,"ООО""ОКО"""
6758117376,"ООО ""ОКО-Охрана"""
7672299495,"ООО ""Иннопром"""
7670333119,"ООО ""СВЕТ"""
7671317328,"ООО ""ЮгорскПроект"""
761209801706,Богданов Данил Алексеевич
7687016144,"ООО ""НТЦ ""Промэксперт"""
6758320498,"ООО ""КРЕЙТ"""
7672208275,ГНУ Свердловская ССС ВСТИСП Россельхозакадемии
6758430074,Богданова Милена Алексеевна
6609007726,"ООО ""Эльмаш (УЭТМ)"""
6758310482,"ЗАО ""Энергомаш (Екатеринбург) - Уралэлектротяжмаш"""
6758310972,"ООО ""АСУ - доктор"""
6758378794,"ООО ""Декор Мастер"""
6758373186,"ООО ""Прайд - Коммерс"""
767330163219,"ООО ""ВиК"""
7671414579,"ООО ""СОЮЗ"""
6606036158,"ООО ""ЮТА"""
7687016112,"ООО ЧОО ""Соболь-98"""
6763002211,"ОАО ""МН ""Дружба"""
690405768210,"ООО ""Бератор-Прим"""
6758424916,"ООО ""Леском"""
7687007548,"ООО ""Завод ""Гарант"""
6758422193,"ООО ""Позитрон"""
7678025532,"ОАО ""ТГК-9"""
6758007687,Богуш Аристофан Витальевич
767200487741,"ООО ""Энергозапчасть"""
7687032562,Боднар Мария Юрьевна
7670103769,"ООО ""МЕГАПОЛИС САМАРА"""
675900295914,"ООО ""Алькор"""
7679023633,Артинское райпо
6758087097,"ООО ""Медиа Групп"""
7637004675,"ООО ""Криотехника"""
7673185275,"ООО ""УралСтройМаркет"""
767013804091,"ООО ""Саргона-2000"""
1102017594,"ООО Предприятие ""БЛАСТ"""
7634011892,"ООО ""Форти"""
676400177096,"ООО ""Биотэкс-А"""
7686018842,"ООО ""СтройПрофи"""
7671278742,Болдырев Митрофан Степанович
7671321821,"ООО ""ПСК-Плюс"""
7687043532,"ООО ""Купол"""
6758263063,Болдырева Маша Алексеевна
6758389490,"ООО ""ИнвестКэпиталГруп-Синтез"""
6758347228,"ГЭК ""Маршальский"""
7620011204,"ООО ""Шротт"""
7674336093,Дума Дружининского городского поселения
6758153021,"ООО ""ЯГОДЫ УРАЛА"""
6758193190,"ООО ""Расти"""
6758316068,"ООО ""Салерс"""
7687034739,ООО «СтройКомплект»
7670048721,"ООО ""ЕВРАЗСТРОЙ ГРУПП"""
7683001590,"ООО ""Евразстрой Груп Проект"""
6164260418,"ООО ""СТРОЙСИСТЕМА"""
7674158588,"ООО ""БЬЮТИНИКАЕКТБ"""
675900212717,"ООО ""Витязь"""
7673124089,"ООО ""Ричдар"""
6761058770,Большин Аристофан Валерьевич
6761080084,"ООО ""Теплокон"""
7670041395,"Адвокатское бюро ""СИР"""
6761094706,"ЗАО ""СОВЕТНИК"""
6761099141,"ООО ""АИФ-НР"""
7673270421,"ООО ""АиФ на Урале"""
6604013003,"ООО ""Аргументы в УрФО"""
8622022798,"ООО ""АиФ Урал"""
675912927515,"ООО ""АиФ Западная Сибирь"""
7670388742,"ООО ""БГ"""
6759039392,"ЗАО ""Горный камень"""
6764014058,"ООО ""Строймеханизация ""АСК"""
675903676322,Бондарева Илана Николаевна
7686007875,"ООО ""Солнечное"""
7673197337,МБДОУ детский сад № 438
7673123060,"ООО ""МНК"""
7670407568,"ООО ""АЛАН-ТРЕЙДИНГ"""
6758412163,"ООО ""НВК"""
6606023840,"ООО НПП ""Нефте-Стандарт"""
6606023751,"ООО ""Фирма Терм"""
7671318466,"ООО ""Комфорт"""
6764052039,"ООО НПО ""Терм"""
3237002178,"ООО """"Торговый Дом ""Провиант Ек"""
6758424553,"ООО ""УСПЕХ-УРАЛ"""
7617011490,"ООО Евразийский Центр ""Дистрибуционное Знание"""
7670117735,"ООО ""МТК"""
7673239146,"ООО ""УТЭГ"""
5904119383,"ООО ""Каменный пояс"""
767107493081,"ООО ""ПромтехАвто"""
7672202263,"ООО ""Горная Евразия"""
676400561454,"ООО ПКФ ""Торос"""
6311094683,Борзенков Владислав Алексеевич
6758421675,"ООО ""ФАЛЬКОН"""
7636000173,"ООО ""Планета Малахит"""
7671397675,"ООО ""Курага"""
7673216607,"ООО ПК ""Передовые системы"""
7672301909,"ООО ""МГМ-Групп"""
6758353479,"ООО ""УПХ"""
6762048761,Общественная организация Урало-Сибирская Федерация ЮНЕСКО
7660069930,"ООО ""УК ""Домоуправление"""
7670373827,Борисов Митрофан Геннадьевич
7673094596,"ООО ""КУПРОС"""
7686011607,Борисова Жанна Ульяновна
660400157511,"ООО ""Гринвуд"""
6604028514,"ООО ""Школа ООЭД Ананды"""
6604017311,"ЕМУП БПК ""ЖЕМЧУЖИНА"""
676300074520,Борисова Маша Юрьевна
6759178170,"ООО ""Твой Дом"""
6758304680,"ООО ""Екатеринбурггаз - С"""
7674381427,"ООО ""ПЛАНЕТА - СПОРТА"""
7646013870,"ООО ""Ренесанс-А"""
7687045201,"ЗАО ""Редуктор"""
7671420734,"ОАО ""ЕЗ ОЦМ"", ОАО ""Екатеринбургский завод по обработке цветных м"
7670329497,"ООО ""Еканет"""
7670427800,"ООО НПФ ""Экотехника"""
6758443010,"ООО ""АФ ""Консалтинг-Профи"""
7671402439,"ООО ""Техмаш"""
7686034890,"ООО ""ТЭС АВТО УРАЛ"""
7670409431,"ООО ""Транстэк"""
6606012220,"ООО ""ЗарИрина"""
7678034583,"ЗАО ""Управление Промышленного Строительства"""
7686003589,Боровских Василий Степанович
675800631841,"ООО ""Логан-Сервис"""
7838380184,"ООО ""Планета"""
7674215973,"ООО ""ПГС г. Екатеринбурга"""
7670082475,"ООО ""УП ""Горнощитское"""
7671159875,"ЗАО ""СКОН - АКТИВ"""
7670212347,"ООО ""Зеленый бор"""
7672137166,"ООО ""Ассорти Тур"""
7670035137,Бородина Юлия Вячеславовна
7670327975,Бородулин Маврикий Асланбекович
7670328214,"ООО ""Территория роста"""
7670347418,"ООО ""ЛПС"""
7672178483,"ООО ""УЗСО"""
7670106752,"ООО ""Реверс-Импэкс"""
761217555153,МБДОУ детский сад № 136
6752019580,Борцов Емельян Витальевич
7674135686,"ООО ""Стекольный Дом"""
7671390763,"ООО ""Трикотаж"""
6758077973,"ООО ""ЛАМА-Энерго"""
6758001701,МБОУ Гимназия N 120
7671111091,"ООО ""Урал-Альянс"""
6763076770,"ООО ""Боталова Емельяна Геннадьевна"""
7673159170,"ООО ""БОТАЛ"""
7673210323,Боталова Ирина Рудольфовна
6764064605,"ООО ""АвтоДор-Урал"""
7670414456,"ООО ""АДИС"""
7670373344,"ООО ""Фабрика Уралтекстиль"""
5920031908,"ООО ""АНГЕЛ ЭЛИТ"""
6758261877,"ООО ""УТО ""Потенциал"""
7660122670,Бочкарёва Есения Алексеевна
7687012598,Бочкарева Емельяна Николаевна
7671293363,"ООО ""МИТ КЛИМАТ"""
7671356214,"ООО ""Рэйл-ЕК"""
766000572620,"ООО ""Газснаб - Е"""
7670409488,"ООО ""Консультант СВ"""
7671177159,"ООО ""Эгоист-Мед"""
7678020781,"ООО АПБ ""Уралкурортсервис"""
7671390945,"ООО ""ПТ"""
7673204520,"ООО ""Газ и Лед"""
7673097681,Боярских Руслан Васильевич
6761001445,"ООО ""Вега"""
6759199910,МБОУ Сеш № 114
7679010708,Брагин Митрофан Валентинович
7670140220,Уралоптторг
675200018104,"ООО ""Автобизнес"""
7686001790,"ООО ""Гранат"""
676303709988,"ГБУЗ СО ""КДЦ ""ОЗМР"""
7686022863,МБДОУ детский сад № 35
5405420771,"ООО ""АС-МЕД"""
6763078179,"ООО ""Центр деловых услуг ""Профи групп"""
762700170786,Администрация Верх-Исетского района города Екатеринбурга
7670287060,Бредихин Андрей Игоревич
7672151058,"ТСЖ ""Адмирал"""
7678034093,"ООО""Арманта"""
6764043813,"Детский сад № 131 ОАО ""РЖД"""
7674332290,"ООО ""Корус"""
6761005707,"ООО ""Корин-СБЦ"""
6758257094,"ООО ""ГП Корус"""
7453212581,"ЗАО ""Корин-ФМ"""
7672187640,"ЗАО ""АТгрупп"""
7674332282,"ООО ""Талица"""
7678010370,Бриткарь Петр Аристархович
6758121990,"ООО ""Эко трейд"""
7670227519,"ООО ""Плодородие"""
7672140641,"ООО ""БК_НЕДВИЖИМОСТЬ"""
675811561201,"ООО ""СМС-Екатеринбург"""
7687033911,"ООО ""ГИДРОАБРАЗИВ"""
7671352643,"ООО ""Гидроабразив-Оборудование"""
7674190630,"ООО ""Платежные системы"""
6758410906,"ООО ""СК ""КСК"""
7626017770,"ЗАО ""РЭС"""
7674197428,"ООО ""МСК"""
7671224948,"ООО "" Ассоциация "" Уралмедсервис """
583800264570,"ООО ""Авто Тайм"""
676400195529,Брусницын Степан Михайлович
7671346875,"ОАО ""КОЛОС"""
7670270839,"ООО ""Урал-Евро-Трейд"""
7674359407,"ООО ""СТРОЙХОЛДИНГ"""
7660078903,"ООО ""Агентство ""Финансы и право"""
7686010272,"ООО Журнал ""Налоги и финансовое право"""
675900567515,"НОУ ""УЦ ""Налоги и финансовое право"""
6604027535,"ООО ""Агентство ""Налоги и финансовое право"""
6758353800,"ЗАО ""ЦЭЭ ""Налоги и финансовое право"""
6758171983,"ООО ""МК"""
6761061902,"ООО ""Монтажно-строительная компания Техносервис-Т"""
7671292810,"ООО ""ДОРСТРОЙИНВЕСТ"""
7672344074,"ООО ""БТВ-групп"""
7672344081,"ЗАО ""Стоматологический центр Приор-М"""
590600853280,Брылёв Алексей Станиславович
7673216879,"ООО ""ЕЦЗ"""
7672318035,"ООО ""АЙСПИК+"""
6758360370,"МКУ ""Административно-хозяйственное управление"""
6758423775,"ООО ""Софья-Урал"""
7673197640,"ООО ""Нефрит"""
767107788529,МБОУ Сеш № 103
767327181803,"УрГЮА, ФГБОУ ВПО ""УрГЮА"""
7670279912,"ООО ""Юнитранс-2011"""
7679027564,"ЗАО ""УралМАЗсервис"""
7686003532,"ООО ""УралДиал"""
6758378748,"ООО ""МедикорФарма-Урал"""
7671197807,"ООО ""Два жирафа"""
6758011323,"ТСЖ ""Павлодарская 48 а"""
6758347619,"ООО ""КС"""
6758400986,"МКОУ ""Сеш № 16"""
660902772433,"МБУ ""ЦДС"""
7670107031,"АНО ""УСФА"""
6763058020,"ООО ""Астра-Проект"""
676400034899,"ООО ""Спецтехника"""
676400546840,"ООО ""ПЕРВОЙ ФЭШНГРУПП"""
7674107833,"ООО ""Декоранс"""
7672291640,"ФГУП ""Ростехинвентаризация - Федеральное БТИ"""
6761017692,"ООО ""ТехЗащита"""
7660127635,"ЗАО Карьер ""Гора Хрустальная"""
7671404877,"ООО ""АШС-Югра"""
7679038252,"ЗАО ""Рубикон-Аэро Инвест"""
7674335420,"ООО ""ЦЮЭ"""
6758030020,МБДОУ - детский сад № 296
767323922994,"ООО ""Юниверсум"""
6758419779,"ООО ""Юнивер Пресс"""
7672287538,Букова Галина Петровна
6759107388,"ООО ""СДО"""
7670366080,МКОУ ВСеш
7671409709,"ООО ""БАДЭТ"""
7660067771,"ООО ""Прогресс"""
7671329980,"ООО ""Инновационная компания ""Автострада"""
7673090351,НОУВПО Евроазиатский институт управления и предпринимательства
6754012132,"ООО ""Ирбитский кондитер"""
764603387704,"ООО ""НЕФТЕЮГАНСКСТРОЙИНВЕСТ"""
7679028575,"ООО ""Доктор"""
6606027036,"МКУ ""БО МУК Ленинского района"""
7671323970,Булашева Валентина Ивановна
7686020721,РОО АИССНСО
7670361123,"ООО ""Строймастер"""
7672359585,"СППК ""СоюзУралОвощ"""
7670238539,МБОУ Сеш № 142
7670309571,"ООО ""Саннэт"""
7670170947,"ООО НПКФ ""УРАЛСПЕЦАВТОМАТИКА"""
7679013674,"ООО ""УСГ-строй"""
6759027855,Булычева Раиса Сибгатовна
7670304407,"ООО ""СветоГид"""
676104055828,"ООО ""УРАЛЬСКИЙ ПРОДУКТ"""
7639011310,МБОУ ГИМНАЗИЯ № 35
6761073440,"ООО ""УралСтройИнвест"""
7670139706,"ООО ""ЭКО-ИНВЕСТ"""
7660086990,"ООО ""МК ""Локус"""
7660123338,"ООО ""САНТЭ"""
7670061803,"ООО ""Магистраль Авто"""
6759017677,"ООО ""Старт"""
6758010224,"ООО ""Удобно-Деньги Анапа"""
6758360116,"ЗАО ""СМП-278-Уралтрансстрой"""
7204128555,"ООО ""Транс Терминал Групп"""
7671418397,"ЗАО ""ДжиЭмСиЭр"""
7672351882,"ЗАО ""Уралсвязьмонтаж"""
7671175837,"ООО ""Гильдия М"""
676300069954,"ООО ""МЕГАСЕРВИС"""
6602013946,"ООО ""УК Приоритет"""
7679021851,"ООО ""Компания КБ Урал"""
6606037232,"ООО ""КБ Урал"""
7670277630,"ООО ""Кронин Групп"""
6758364978,"ООО ""Партнёр.ру"""
6763058013,"ООО""Элина"""
7660008159,МБОУ Сеш № 105
7673232711,"ООО ""Конкорд"""
6764000464,"ООО ""ТСК ФАСАД КЛАССИК"""
7671202119,"ООО ""Группа Компаний ""КриоМетТранс"""
7674380335,МБОУ Сеш №64
7670110708,"ООО ""Уралагроинвест"""
7674382290,Бурнашева Милена Викторовна
7686005730,"ООО ""ЦКФ"""
6606011481,"ООО ""Уральское карьероуправление"""
7671247532,"ООО ""Вианна"""
7673167406,МБДОУ - детский сад комбинированного вида № 357
6758313412,"ООО ""Айсберг"""
7673139092,"ООО ""Технострой"""
7678000168,"ООО Ю/ф ""Статус"""
7686010138,Бурцева Антонина Леонидовна
7701018922,"ООО ""НЕО-ПРИЗ"""
3907080705,Бурцева Юлия Ульяновна
6758237948,"ООО ""Иверь"""
6758008634,"ООО ""ТЦ ""Успенский"""
8602172442,"ФГУП ""Урал"""
6764051726,МБДОУ - детский сад № 76
7671333023,"ЗАО ""Богословская ТЭЦ"""
7673230827,"ЗАО ""Нижнетуринская ГРЭС"""
7672188241,"ООО ""Дикси-Ект"""
6762102213,"ООО ""Уралспецсталь"""
767415156845,"ГБУЗ СО ""Гаринская ЦРБ"""
7670000110,Бусыгина Магдалена Степановна
7620007039,"ООО ""Эпиона"""
7674370305,"ООО СП ТД ""МАГЕЛЛАН"""
6752032983,"МАОУК ДОД ЕДШИ № 4 ""АртСозвездие"""
7674345884,МБОУ Сеш № 157
6761017212,МБДОУ ДЕТСКИЙ САД № 275
7611008646,"ООО ""Арборетум Европа-Азия"""
8604052175,"ООО ""Талисман"""
7672173485,"ООО ""Союз-Трейд"""
7671189700,МБДОУ детский сад общеразвивающего вида с приоритетным осуществл
766005752809,"ООО ""СМК"""
6758101577,"ООО ""РК ""Июльская"""
7679033039,ГКООУ СО Санаторная школа-интернат 28
7639019824,"ООО ""ЖБИ-ГРАНД"""
6764036375,Бухвалова Мария Степановна
7674300756,МАДОУ № 410
6759075882,"ООО ""БДК"""
6759057574,"ООО ""Урал-Престиж"""
675913107340,Бухтояров Геннадий Петрович
7670339199,"ООО ""Системные решения"""
7686031931,Бучнева Виктория Станиславовна
7660012941,"ООО ""Континент"""
7671423100,"ООО ""АЛЛЮР"""
7673111837,"ООО ""ТаКи-Дент"""
7670345805,"ООО ""Фактория"""
7670420410,"ООО ""Киберком"""
7452104223,"ООО ""Ека - Хаус"""
7686027413,"ЗАО ""Консалтинг-Проф"""
2301079897,"ООО ""Ричмонд"""
6759051512,"ООО ""РАДИУС"""
6758188225,"ООО ""НЕМБУС"""
7728206948,"ООО ""Стардэст"""
6761001780,"ООО ""НОВАХИМ"""
6759130394,"ООО ""Атлантик Лада Красноуфимск"""
6759184745,"ООО ""АВС"""
7671404620,"ООО ""ПКП ""Уралтехмаш"""
7670215933,Бызова Алевтина Васильевна
7670399712,"ООО ""Торговый дом ""ЭФЕС"""
7679020079,"ООО ""УТК"""
7674376940,МКОУ Сеш с.Кленовское
7639005719,"ООО ""ТД ""Русьимпорт-Екатеринбург"""
6764033149,Быков Митрофан Семенович
7673137169,"ООО ""Наши продукты"""
6758444895,"ООО ""АП - Дент"""
6759203148,"ООО ""ЮвелирГолд"""
6761059149,"ООО ""НПО ""Промавтоматика"""
7671146023,"ООО ""ЭВОКОР"""
767327010680,Вавилкина Лариса Алексеевна
7671160719,"ООО ""Девятый трест - Екатеринбург"""
7627017300,"ООО ""РЕНТСИСТЕМ"""
7671159456,"ООО ""НИКС и К"""
6758417612,"ООО ""СтройИнвест-Сочи"""
6759045237,"ООО ТК ""Урал-Трак"""
7674351133,"ООО ""Опт-Декор"""
7670079536,"ООО ""Амиго Урал"""
6763011777,"ООО ""Сантехсервис"""
767001649349,"ООО ""Комплекс-СТС"""
7672223048,"ЗАО ""МК ""Высота"""
767417889566,"ЗАО ""Студия Ладья"""
6761080704,"ООО ""Н-фактор"""
6761074605,"ООО ""ПАФОС-Р"""
6758002223,Ваганова Изольда Федоровна
6763049770,"ЗАО ""Ирбитский хлеб-2"""
5904212449,МБДОУ - детский сад компенсирующего вида № 356
5904212495,Вагина Алевтина Валерьевна
6758240718,"ООО ""СК ""Прогресс"""
6759104588,"ООО ""Газпром переработка"""
7641000316,"ООО ""Урал ВВК"""
767300984539,"ООО "" Втормет-Ноябрьск"""
7673157755,"ОАО ""Птицефабрика ""Свердловская"""
7721740075,"ООО ""СМС"""
6759001085,"ООО ""Экспокар"""
6761059780,МБОУ Сеш № 154
7660016061,"ЗАО ""АРАНТА"""
6763064786,"ЗАО ""Уральский центр аудиторских услуг"""
7672267599,"ООО ""Орифлэйм Косметикс"""
7670259088,"ООО ""КМЗ"""
7670390029,Валиева Лилия Мударисовна
6758176893,"ООО ""Углепроект"""
7671356920,МКОУ Сеш № 4 г. Михайловска
7670358970,"ООО ""САЯН"""
6764041333,"ООО ""Энергоэксперт"""
7678024151,"ООО ""ЭнергоУралРемонт"""
676307258090,"ООО ""Уралэнергоремонт"""
7679037442,"ООО ""АльянсТехКом"""
7674173473,"ООО ""ЕвроСнабСервис"""
7672345737,МБДОУ - детский сад №100
761202522310,"ООО ""Исеть-Девелопмент"""
7686017567,"ООО "" МЕГА КРАСНОЯРСК """
675915448137,"ООО ""Пальметта"""
6752032790,"ООО ""Эдельштайн"""
7674381836,"ООО ""ХОА БИНЬ"""
7671142300,"ООО ""Терра-Е"""
7672352195,"ООО ""Рубикон"""
6758184044,"ООО ""Гранд ЕК"""
6758411956,"ООО ""Автолизинг Плюс"""
7660126427,"ООО ""ИФК Уралавтолизинг"""
6759092854,Вандышева Мария Алексеевна
7670179026,"ООО Агентство недвижимости ""Максимум"""
7684001843,"ЗАО фирма ""АС-Бюро"""
7714932114,"ЗАО ""ПКУ"""
7703694796,"ООО ПГ ""УралВторМет"""
6758430194,"ООО ""УГМК-ВЦМ Нижневартовск"""
7673243054,Варанкин Алексей Васильевич
6758420774,"ООО ""Промоборудование-ЕК"""
6759042758,"ООО ""ДОРСТРОЙ"""
766000180944,"ООО ""Корпорация ""ЭММА"""
7670272674,"ООО ""ГРААЛЬ"""
7734691442,"ООО ""УРЦОТН"""
7646008213,"ООО ""АРМЕНИЯ"""
6758210030,Варданян Артур Ашикович
767100212905,"ООО ""АРП"""
6758357688,"ООО ""УКЦ"""
6758123549,Варданян Зарине Борисовна
7674346762,"ООО ""Любимый Продуктовый"""
7670220475,"ООО ""Инвест-консалтинг"""
7674370513,"ООО ""Дубрава-Строй"""
582610299005,"ООО ""Лисмарк"""
6761088083,"ООО ""Свердлнефтеснаб"""
7670410070,"ООО ""Бизнес-проект"""
6758304915,"ЗАО ""НАУМЕН"""
6762086900,Варламов Петр Степанович
2319037270,"ООО ""ЭлитАС-сервис"""
7627062315,Варламова Нина Петровна
7670395933,"ООО ""СВИТС 4"""
7670234693,"ООО ""СТРОЙбери"""
6759000194,Варнакова Мария Леонидовна
6759199290,ФКУ ИК-10 ГУФСИН России по Свердловской области
7672212600,"ООО ""Вентон-Медикал"""
7670010936,"ООО ""Геном"""
6758190577,"ООО ""ИнвестКэпиталГруп-Актив"""
7673092790,Васёв Павел Алексеевич
675912127128,Васенёв Виктор Валерьевич
7611005752,"ООО ""Еврокраски"""
6758078737,Васильев Алексей Игоревич
6758220366,"ООО ""ТД""Невотекс"""
890704323708,"ООО ""Автопилот"""
7670384716,"ООО ТД ""Акрилон"""
1102054991,"ООО ""АТЛАНТ-ГРУПП"""
7660149590,"ООО ""Ви Вад"""
8907037989,Васильев Степан Анатольевич
7672370180,Васильев Степан Германович
7674140894,"ООО ""Машпром"""
7671356239,"ООО ""Астранет"""
6761063674,"ООО ""Хостел Групп"""
6761022237,"ООО ""Хостел"""
6764034946,"ООО ""Гелиодор-21"""
7704270172,"ООО ""РилКом"""
7672361827,"ООО ""БУРСТРОЙИНВЕСТ"""
591800452922,"ООО ""Дуэт-плюс"""
6758146063,"ЗАО УК ""ГП ""МОСТ"""
7646008453,"ООО Группа компаний ""СТМ"""
7671200217,МБОУ - Сеш № 175
7670272699,"ООО ""Пешеход"""
6761038484,"ООО ""УралТехПроцесс"""
7673197758,"ООО ""ЕВРОКРАСКИ-ЕК"""
6758238324,Васильева Мария Львовна
7671214700,"ООО ""ИНТЕРТРАКСЕРВИС"""
7670300106,"ООО ""Интертрак"""
7670401810,Васильева Зухра Рязаповна
2475110112,"ООО ""ПрофЛайн"""
7660151649,"ООО ""Аквариум без проблем"""
7671336786,"ООО ""Вантер"""
6759119633,Васильева Лилия Хабибовна
6758355797,"ЗАО ""ВРЕМЯ И К"""
6758357890,"ЗАО ""УГК"""
7678007340,"ОАО ""Машпродукция"""
7671352611,"ООО ""Концерн ""Уральский текстиль"""
7671229417,"ООО ""АТП - 3"""
767007537218,"ООО ""Баланс Плюс"""
6758213390,"ООО ""Профинтенс"""
7673240215,"ООО ""ПК ""Бытсервис"""
7670122421,Васьков Василий Леонидович
7671403030,"ООО ""Энергоимпэкс"""
8603176714,Васьков Леонид Семенович
6758267090,"ООО ""СК ""БСУ"""
763706493284,"НП ""Общество товароведов-менеджеров Екатеринбурга"""
7672242428,"ООО ""КОРЛОФФ"""
6606033140,"ООО ТПК ""Гиацинт голд"""
6606032805,"ООО ""ПластИндустрия"""
6759139372,"ООО ""ЦИТ"""
6759112437,Ватутин Юрий Степанович
6759123848,Ватутина Алексейа ГрЕмельяневна
675207471759,"ООО ТД ""УЗКТ"""
6759195994,"ООО ""УЗКТ"""
7660089870,"ООО ""Авант"""
767222989008,Ваулин Митрофан Игоревич
7670394792,"ГБУ СОН СО ""РЦ ""Лювена"" Кировского района города Екатеринбурга"""
7671152757,"ООО ""Студия приключений ЮБиТу"""
7670343149,"ООО ""Гид приключений"""
7670124010,"ООО ""ПК СМС"""
6764071377,"ООО ""Авангард"""
7670062564,"ЗАО ""Эй-Си-Эс"""
7671111140,"ЗАО ""АКС"""
676101633580,"ООО ""Монтажэнергострой"""
7678013417,"ООО ""ОПХ ""Мустанг"""
7686008273,"ГАУ ""Уктусский пансионат"""
676100157120,"ООО ""СМП ""Новые технологии"""
7671420685,Вахрушев Андрей Петрович
7674236772,"ООО ""Либерти"""
660602344363,Вахрушева Мария Ивановна
6764023422,"ООО ""ТК ""Гольфстрим"""
7718778270,МБДОУ ДЕТСКИЙ САД № 61
6758153624,"ООО ""ТЭК"""
6758238814,МБОУ-Сеш № 85
767009154115,"ООО ""РУЖ"""
763400122282,"ООО ""Провэл"""
7670241115,"ООО ""ТД Провэл"""
767416387740,"ООО ""ПК-Изонар"""
6758239763,"ООО ""Шейнкмана 75"""
7686018539,"ООО ""АВС Менеджмент"""
7679026916,"ООО ""Фирма АВС"""
7670425793,"ООО ""МеталлЛогика"""
7672296776,"МКОУ ""Сеш № 24"""
766007020976,"ООО ""ЖКС ""Карпинский"""
766000632982,"ООО ПКФ ""ПТУ"""
7670379152,"ООО ГК ПКФ ""ПТУ"""
7678021633,"ООО ""СтройКапиталСервис"""
7672206405,"ЗАО ""СК ""Термоинжениринг"""
7672204888,"ООО ""Омега"""
7670001515,"ООО СМП ""ГорРемСтрой"""
6763008622,"ООО ""Промскладсервис"""
7686038616,Венцлавович Милена Гениевна
7686030367,"ООО ""РА Артлайн"""
6758182054,Вербах Виктор Михайлович
6759210593,"ООО ""ТрансКомплект"""
7660012070,"ОАО ""ЕРМЗ"""
7670387227,"ООО ""ФОРТУНА И КО"""
7670271720,"ООО ""Корпорация ""ОптТорг"""
7670299080,Верезомский Петр Петрович
676300453208,Веремеенко Анна Степановна
6752012930,Веремеенко Степан Васильевич
6752033641,"ООО ""АВИСТЭН"""
767340180326,"ООО ""РА Антиква"""
7674329498,АСП Луговской
6759160494,"ООО ""Своя крепость"""
7670064473,"ООО ""Фортуна Транс-Экс"""
766000809911,"ООО ""ОВК"""
7826708520,"ООО ""Ареал-Строй"""
7671388209,"ООО ""Форест"""
6759007231,Верхуша Яна Васильевна
6764044133,"ООО ""ЮРИДИЧЕСКИЙ АУКЦИОН"""
7670117929,Свердловское региональное отделение Общероссийской общественной 
7670214440,"ЗАО ""Агентство по сбору платежей"""
6758383106,"ООО ""УСРДЦ"""
6758039368,"ООО ""ПРОФАУДИТЭКСПЕРТ"""
676400551103,Вершинина Маша Львовна
7670081800,"ООО""ВИВА"""
676402161733,"ООО ""Прометей"""
6604027447,"ООО ""Роуд-Екб"""
7674162552,"ООО ""НПК СО"""
7674118105,"""РосНИТИ"" ОАО"
6764087000,"ООО ЧОО ""ВСВ групп"""
7672175195,"МБОУ ДОД ""ДДТ"""
6758149032,"ООО ""УРАЛБЫТСЕРВИС"""
